Account|Name|AccountType
668|Alte cheltuieli financiare|Nespecificat
68|Cheltuieli cu amortizările, provizioanele şi ajustările pentru depreciere sau pierdere de valoare|Nespecificat
681|Cheltuieli de exploatare privind amortizările, provizioanele şi ajustările pentru depreciere|Nespecificat
6811|Cheltuieli de exploatare privind amortizarea imobilizărilor|Nespecificat
6812|Cheltuieli de exploatare privind provizioanele|Nespecificat
6813|Cheltuieli de exploatare privind ajustările pentru deprecierea imobilizărilor|Nespecificat
6814|Cheltuieli de exploatare privind ajustările pentru deprecierea activelor circulante|Nespecificat
6817|Cheltuieli de exploatare privind ajustările pentru deprecierea fondului comercial|Nespecificat
6818|Cheltuieli de exploatare privind ajustările pentru deprecierea creanţelor reprezentând avansuri acordate furnizorilor|Nespecificat
686|Cheltuieli financiare privind amortizările, provizioanele şi ajustările pentru pierdere de valoare|Nespecificat
6861|Cheltuieli privind actualizarea provizioanelor|Nespecificat
6863|Cheltuieli financiare privind ajustările pentru pierderea de valoare a imobilizărilor financiare|Nespecificat
6864|Cheltuieli financiare privind ajustările pentru pierderea de valoare a activelor circulante|Nespecificat
6868|Cheltuieli financiare privind amortizarea primelor de rambursare a obligaţiunilor şi a altor datorii|Nespecificat
69|Cheltuieli cu impozitul pe profit şi alte impozite|Nespecificat
691|Cheltuieli cu impozitul pe profit|Nespecificat
695|Cheltuieli cu impozitul specific unor activităţi1|Nespecificat
698|Cheltuieli cu impozitul pe venit şi cu alte impozite care nu apar în elementele de mai sus|Nespecificat
7|Conturi de venituri|Nespecificat
70|Cifra de afaceri netă|Nespecificat
701|Venituri din vânzarea produselor finite, produselor agricole şi a activelor biologice de natura stocurilor|Nespecificat
7015|Venituri din vânzarea produselor finite|Nespecificat
7017|Venituri din vânzarea produselor agricole|Nespecificat
7018|Venituri din vânzarea activelor biologice de natura stocurilor|Nespecificat
702|Venituri din vânzarea semifabricatelor|Nespecificat
703|Venituri din vânzarea produselor reziduale|Nespecificat
704|Venituri din servicii prestate|Nespecificat
705|Venituri din studii şi cercetări|Nespecificat
706|Venituri din redevenţe, locaţii de gestiune şi chirii|Nespecificat
707|Venituri din vânzarea mărfurilor|Nespecificat
708|Venituri din activităţi diverse|Nespecificat
709|Reduceri comerciale acordate|Nespecificat
71|Venituri aferente costului producţiei în curs de execuţie|Nespecificat
711|Venituri aferente costurilor stocurilor de produse|Nespecificat
712|Venituri aferente costurilor serviciilor în curs de execuţie|Nespecificat
72|Venituri din producţia de imobilizări|Nespecificat
721|Venituri din producţia de imobilizări necorporale|Nespecificat
722|Venituri din producţia de imobilizări corporale|Nespecificat
725|Venituri din producţia de investiţii imobiliare|Nespecificat
74|Venituri din subvenţii de exploatare|Nespecificat
741|Venituri din subvenţii de exploatare|Nespecificat
7411|Venituri din subvenţii de exploatare aferente cifrei de afaceri|Nespecificat
7412|Venitur din subvenţii de exploatare pentru materii prime şi materiale|Nespecificat
7413|Venituri din subvenţii de exploatare pentru alte cheltuieli externe|Nespecificat
7414|Venituri din subvenţii de exploatare pentru plata personalului|Nespecificat
7415|Venituri din subvenţii de exploatare pentru asigurări şi protecţie socială|Nespecificat
7416|Venituri din subvenţii de exploatare pentru alte cheltuieli de exploatare|Nespecificat
7417|Venituri din subvenţii de exploatare în caz de calamităţi şi alte evenimente similare|Nespecificat
7418|Venituri din subvenţii de exploatare pentru dobânda datorată|Nespecificat
7419|Venituri din subvenţii de exploatare aferente altor venituri|Nespecificat
75|Alte venituri din exploatare|Nespecificat
751|Venituri din operaţiuni de fiducie|Nespecificat
7511|Venituri ocazionate de constituirea fiduciei|Nespecificat
7512|Venituri din derularea operaţiunilor de fiducie|Nespecificat
7513|Venituri din lichidarea operaţiunilor de fiducie|Nespecificat
754|Venituri din creanţe reactivate şi debitori diverşi|Nespecificat
755|Venituri din reevaluarea imobilizărilor corporale|Nespecificat
758|Alte venituri din exploatare|Nespecificat
7581|Venituri din despăgubiri, amenzi şi penalităţi|Nespecificat
7582|Venituri din donaţii primite|Nespecificat
7583|Venituri din vânzarea activelor şi alte operaţiuni de capital|Nespecificat
7584|Venituri din subvenţii pentru investiţii|Nespecificat
7586|Venituri reprezentând transferuri cuvenite în baza unor acte normative speciale1|Nespecificat
7588|Alte venituri din exploatare|Nespecificat
76|Venituri financiare|Nespecificat
761|Venituri din imobilizări financiare|Nespecificat
7611|Venituri din acţiuni deţinute la entităţile afiliate|Nespecificat
7612|Venituri din acţiuni deţinute la entităţi asociate|Nespecificat
7613|Venituri din acţiuni deţinute la entităţi controlate în comun|Nespecificat
7615|Venituri din alte imobilizări financiare|Nespecificat
762|Venituri din investiţii financiare pe termen scurt|Nespecificat
764|Venituri din investiţii financiare cedate|Nespecificat
7641|Venituri din imobilizări financiare cedate|Nespecificat
7642|Câştiguri din investiţii pe termen scurt cedate|Nespecificat
765|Venituri din diferenţe de curs valutar|Nespecificat
7651|Diferenţe favorabile de curs valutar legate de elementele monetare exprimate în valută|Nespecificat
7652|Diferenţe favorabile de curs valutar din evaluarea elementelor monetare care fac parte din investiţia netă într-o entitate străină|Nespecificat
766|Venituri din dobânzi|Nespecificat
767|Venituri din sconturi obţinute|Nespecificat
768|Alte venituri financiare|Nespecificat
78|Venituri din provizioane, amortizări şi ajustări pentru depreciere sau pierdere de valoare|Nespecificat
781|Venituri din provizioane şi ajustări pentru depreciere privind activitatea de exploatare|Nespecificat
7812|Venituri din provizioane|Nespecificat
7813|Venituri din ajustări pentru deprecierea imobilizărilor|Nespecificat
7814|Venituri din ajustări pentru deprecierea activelor circulante|Nespecificat
7815|Venituri din fondul comercial negativ|Nespecificat
7818|Venituri din ajustări pentru deprecierea creanţelor reprezentând avansuri acordate furnizorilor|Nespecificat
786|Venituri financiare din amortizări şi ajustări pentru pierdere de valoare|Nespecificat
7863|Venituri financiare din ajustări pentru pierderea de valoare a imobilizărilor financiare|Nespecificat
7864|Venituri financiare din ajustări pentru pierderea de valoare a activelor circulante|Nespecificat
7865|Venituri financiare din amortizarea diferenţelor aferente titlurilor de stat|Nespecificat
8|Conturi speciale|Nespecificat
80|Conturi în afara bilanţului|Nespecificat
801|Angajamente acordate|Nespecificat
8011|Giruri şi garanţii acordate|Nespecificat
8018|Alte angajamente acordate|Nespecificat
802|Angajamente primite|Nespecificat
8021|Giruri şi garanţii primite|Nespecificat
8028|Alte angajamente primite|Nespecificat
803|Alte conturi în afara bilanţului|Nespecificat
8031|Imobilizări corporale primite cu chirie sau în baza altor contracte similare|Nespecificat
8032|Valori materiale primite spre prelucrare sau reparare|Nespecificat
8033|Valori materiale primite în păstrare sau custodie|Nespecificat
8034|Debitori scoşi din activ, urmăriţi în continuare|Nespecificat
8035|Stocuri de natura obiectelor de inventar date în folosinţă|Nespecificat
8036|Redevenţe, locaţii de gestiune, chirii şi alte datorii asimilate|Nespecificat
8037|Efecte scontate neajunse la scadenţă|Nespecificat
8038|Bunuri primite în administrare, concesiune, cu chirie şi alte bunuri similare|Nespecificat
8039|Alte valori în afara bilanţului|Nespecificat
804|Certificate verzi|Nespecificat
805|Dobânzi aferente contractelor de leasing şi altor contracte asimilate, neajunse la scadenţă|Nespecificat
8051|Dobânzi de plătit|Nespecificat
8052|Dobânzi de încasat|Nespecificat
806|Certificate de emisii de gaze cu efect de seră|Nespecificat
807|Active contingente|Nespecificat
808|Datorii contingente|Nespecificat
809|Creanţe preluate prin cesionare|Nespecificat
89|Bilanţ|Nespecificat
891|Bilanţ de deschidere|Nespecificat
892|Bilanţ de închidere|Nespecificat
9|Conturi de gestiune|Nespecificat
90|Decontări interne|Nespecificat
901|Decontări interne privind cheltuielile|Nespecificat
902|Decontări interne privind producţia obţinută|Nespecificat
903|Decontări interne privind diferenţele de preţ|Nespecificat
92|Conturi de calculaţie|Nespecificat
921|Cheltuielile activităţii de bază|Nespecificat
922|Cheltuielile activităţilor auxiliare|Nespecificat
923|Cheltuieli indirecte de producţie|Nespecificat
924|Cheltuieli generale de administraţie|Nespecificat
925|Cheltuieli de desfacere|Nespecificat
93|Costul producţiei|Nespecificat
931|Costul producţiei obţinute|Nespecificat
933|Costul producţiei în curs de execuţie|Nespecificat
